,goalkeepers,url,pen_taker,outcome,off_target
109,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Jamie Vardy,Scored,
110,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Jamie Vardy,Scored,
111,Ederson,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,Youri Tielemans,Scored,
112,Vicente Guaita,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,Jorginho,Scored,
113,Vicente Guaita,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,Jorginho,Scored,
114,Nick Pope,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League,Callum Wilson,Scored,
115,Hugo Lloris,/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League,Bruno Fernandes,Scored,
116,David de Gea,/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League,Harry Kane,Scored,
117,Karl Darlow,/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League,Bruno Fernandes,Missed,
118,Alphonse Areola,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League,Billy Sharp,Scored,
119,Aaron Ramsdale,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League,Aleksandar Mitrović,Missed,1
120,Mathew Ryan,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,Wilfried Zaha,Scored,
121,Alisson,/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League,Sander Berge,Scored,
122,Łukasz Fabiański,/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League,Mohamed Salah,Scored,
123,Alex McCarthy,/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League,Ollie Watkins,Scored,
124,Robin Olsen,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League,Callum Wilson,Scored,
125,David de Gea,/en/matches/75dd1359/Manchester-United-Arsenal-November-1-2020-Premier-League,Pierre-Emerick Aubameyang,Scored,
126,Robert Sánchez,/en/matches/1d01ff0c/Tottenham-Hotspur-Brighton-and-Hove-Albion-November-1-2020-Premier-League,Harry Kane,Scored,
127,Illan Meslier,/en/matches/55d775ec/Leeds-United-Leicester-City-November-2-2020-Premier-League,Youri Tielemans,Scored,
128,Łukasz Fabiański,/en/matches/f075fddc/West-Ham-United-Fulham-November-7-2020-Premier-League,Ademola Lookman,Missed,
129,Rui Patrício,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League,Jamie Vardy,Scored,
130,Rui Patrício,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League,Jamie Vardy,Missed,
131,Alisson,/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League,Kevin De Bruyne,Missed,1
132,Ederson,/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League,Mohamed Salah,Scored,
133,Sam Johnstone,/en/matches/50004f43/Manchester-United-West-Bromwich-Albion-November-21-2020-Premier-League,Bruno Fernandes,Scored,
134,Jordan Pickford,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League,Ivan Cavaleiro,Missed,
135,Alisson,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League,Neal Maupay,Missed,1
136,Alisson,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League,Pascal Groß,Scored,
137,Kasper Schmeichel,/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League,Ivan Cavaleiro,Scored,
138,Łukasz Fabiański,/en/matches/2f67603c/West-Ham-United-Aston-Villa-November-30-2020-Premier-League,Ollie Watkins,Missed,1
139,Alphonse Areola,/en/matches/887dfef6/Manchester-City-Fulham-December-5-2020-Premier-League,Kevin De Bruyne,Scored,
140,Alex McCarthy,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League,Pascal Groß,Scored,
141,Mathew Ryan,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League,Danny Ings,Scored,
142,Łukasz Fabiański,/en/matches/2d36ffad/Leeds-United-West-Ham-United-December-11-2020-Premier-League,Mateusz Klich,Scored,
143,Rui Patrício,/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League,Anwar El Ghazi,Scored,
144,Edouard Mendy,/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League,Gylfi Sigurðsson,Scored,
145,Alphonse Areola,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League,Mohamed Salah,Scored,
146,Jordan Pickford,/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League,Nicolas Pépé,Scored,
147,Alphonse Areola,/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,Callum Wilson,Scored,
148,Hugo Lloris,/en/matches/56ffe356/Tottenham-Hotspur-Leicester-City-December-20-2020-Premier-League,Jamie Vardy,Scored,
149,Illan Meslier,/en/matches/b7ab53b3/Manchester-United-Leeds-United-December-20-2020-Premier-League,Bruno Fernandes,Scored,
150,Sam Johnstone,/en/matches/4bbe55ff/West-Bromwich-Albion-Aston-Villa-December-20-2020-Premier-League,Anwar El Ghazi,Scored,
151,Nick Pope,/en/matches/4e106790/Burnley-Wolverhampton-Wanderers-December-21-2020-Premier-League,Fábio Silva,Scored,
152,Edouard Mendy,/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League,Alexandre Lacazette,Scored,
153,Bernd Leno,/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League,Jorginho,Missed,
154,Nick Pope,/en/matches/d54f6293/Leeds-United-Burnley-December-27-2020-Premier-League,Patrick Bamford,Scored,
155,Vicente Guaita,/en/matches/77437741/Crystal-Palace-Leicester-City-December-28-2020-Premier-League,Kelechi Iheanacho,Missed,
156,Emiliano Martínez,/en/matches/0ae3a66d/Manchester-United-Aston-Villa-January-1-2021-Premier-League,Bruno Fernandes,Scored,
157,Illan Meslier,/en/matches/93463aad/Tottenham-Hotspur-Leeds-United-January-2-2021-Premier-League,Harry Kane,Scored,
158,Rui Patrício,/en/matches/abeb80b7/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-2-2021-Premier-League,Neal Maupay,Scored,
159,Robert Sánchez,/en/matches/abeb80b7/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-2-2021-Premier-League,Rúben Neves,Scored,
160,Karl Darlow,/en/matches/18ccfdb9/Sheffield-United-Newcastle-United-January-12-2021-Premier-League,Billy Sharp,Scored,
161,Robert Sánchez,/en/matches/9926f1f0/Manchester-City-Brighton-and-Hove-Albion-January-13-2021-Premier-League,Raheem Sterling,Missed,
162,Rui Patrício,/en/matches/93420516/Wolverhampton-Wanderers-West-Bromwich-Albion-January-16-2021-Premier-League,Matheus Pereira,Scored,
163,Rui Patrício,/en/matches/93420516/Wolverhampton-Wanderers-West-Bromwich-Albion-January-16-2021-Premier-League,Matheus Pereira,Scored,
164,Emiliano Martínez,/en/matches/c9710420/Manchester-City-Aston-Villa-January-20-2021-Premier-League,İlkay Gündoğan,Scored,
165,Alisson,/en/matches/787d11cc/Liverpool-Burnley-January-21-2021-Premier-League,Ashley Barnes,Scored,
166,Rúnar Alex Rúnarsson,/en/matches/558fa672/Wolverhampton-Wanderers-Arsenal-February-2-2021-Premier-League,Rúben Neves,Scored,
167,Alex McCarthy,/en/matches/37a9f2fd/Manchester-United-Southampton-February-2-2021-Premier-League,Bruno Fernandes,Scored,
168,Hugo Lloris,/en/matches/7d98a679/Tottenham-Hotspur-Chelsea-February-4-2021-Premier-League,Jorginho,Scored,
169,Ederson,/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League,Mohamed Salah,Scored,
170,Alisson,/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League,İlkay Gündoğan,Missed,1
171,Aaron Ramsdale,/en/matches/d3467620/Sheffield-United-Chelsea-February-7-2021-Premier-League,Jorginho,Scored,
172,Hugo Lloris,/en/matches/5d0cd646/Manchester-City-Tottenham-Hotspur-February-13-2021-Premier-League,Rodri,Scored,
173,Alex McCarthy,/en/matches/34682a95/Southampton-Wolverhampton-Wanderers-February-14-2021-Premier-League,Rúben Neves,Scored,
174,Illan Meslier,/en/matches/85624e5e/Arsenal-Leeds-United-February-14-2021-Premier-League,Pierre-Emerick Aubameyang,Scored,
175,Aaron Ramsdale,/en/matches/d6167896/West-Ham-United-Sheffield-United-February-15-2021-Premier-League,Declan Rice,Scored,
176,Alex McCarthy,/en/matches/9e4c8c99/Southampton-Chelsea-February-20-2021-Premier-League,Mason Mount,Scored,
177,Alisson,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League,Gylfi Sigurðsson,Scored,
178,Karl Darlow,/en/matches/401e0d48/Manchester-United-Newcastle-United-February-21-2021-Premier-League,Bruno Fernandes,Scored,
179,Sam Johnstone,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League,Danny Welbeck,Missed,1
180,Sam Johnstone,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League,Pascal Groß,Missed,1
181,Kasper Schmeichel,/en/matches/88b309f1/Leicester-City-Arsenal-February-28-2021-Premier-League,Alexandre Lacazette,Scored,
182,Aaron Ramsdale,/en/matches/9d08bb4e/Sheffield-United-Southampton-March-6-2021-Premier-League,James Ward-Prowse,Scored,
183,Ederson,/en/matches/28ebbc70/Manchester-Derby-Manchester-City-Manchester-United-March-7-2021-Premier-League,Bruno Fernandes,Scored,
184,Jordan Pickford,/en/matches/7e4a240e/Chelsea-Everton-March-8-2021-Premier-League,Jorginho,Scored,
185,Illan Meslier,/en/matches/c3b4d1ba/West-Ham-United-Leeds-United-March-8-2021-Premier-League,Jesse Lingard,Missed,
186,Ederson,/en/matches/ba04db4f/Manchester-City-Southampton-March-10-2021-Premier-League,James Ward-Prowse,Scored,
187,Sam Johnstone,/en/matches/29954372/Crystal-Palace-West-Bromwich-Albion-March-13-2021-Premier-League,Luka Milivojević,Scored,
188,Alphonse Areola,/en/matches/279b0eb5/Fulham-Manchester-City-March-13-2021-Premier-League,Sergio Agüero,Scored,
189,Hugo Lloris,/en/matches/127b8258/North-London-Derby-Arsenal-Tottenham-Hotspur-March-14-2021-Premier-League,Alexandre Lacazette,Scored,
190,Emiliano Martínez,/en/matches/faf3633c/Aston-Villa-Tottenham-Hotspur-March-21-2021-Premier-League,Harry Kane,Scored,
191,Fraser Forster,/en/matches/2c313b76/Southampton-Burnley-April-4-2021-Premier-League,Chris Wood,Scored,
192,Fraser Forster,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,Matheus Pereira,Scored,
193,Sam Johnstone,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,James Ward-Prowse,Missed,
194,Hugo Lloris,/en/matches/ebeb462d/Everton-Tottenham-Hotspur-April-16-2021-Premier-League,Gylfi Sigurðsson,Scored,
195,Martin Dúbravka,/en/matches/25a3b695/Newcastle-United-West-Ham-United-April-17-2021-Premier-League,Jesse Lingard,Scored,
196,Mathew Ryan,/en/matches/a19ff865/Arsenal-Fulham-April-18-2021-Premier-League,Josh Maja,Scored,
197,Alex McCarthy,/en/matches/81a7befa/Tottenham-Hotspur-Southampton-April-21-2021-Premier-League,Son Heung-min,Scored,
198,Sam Johnstone,/en/matches/2ab535fa/Aston-Villa-West-Bromwich-Albion-April-25-2021-Premier-League,Anwar El Ghazi,Scored,
199,Emiliano Martínez,/en/matches/2ab535fa/Aston-Villa-West-Bromwich-Albion-April-25-2021-Premier-League,Matheus Pereira,Scored,
200,Kasper Schmeichel,/en/matches/c0d4f879/Southampton-Leicester-City-April-30-2021-Premier-League,James Ward-Prowse,Scored,
201,Illan Meslier,/en/matches/1e2ba709/Brighton-and-Hove-Albion-Leeds-United-May-1-2021-Premier-League,Pascal Groß,Scored,
202,Łukasz Fabiański,/en/matches/a89e62a7/Burnley-West-Ham-United-May-3-2021-Premier-League,Chris Wood,Scored,
203,Edouard Mendy,/en/matches/b657d658/Manchester-City-Chelsea-May-8-2021-Premier-League,Sergio Agüero,Missed,
204,Emiliano Martínez,/en/matches/c80d17ca/Aston-Villa-Manchester-United-May-9-2021-Premier-League,Bruno Fernandes,Scored,
205,Fraser Forster,/en/matches/5e4ec091/Southampton-Crystal-Palace-May-11-2021-Premier-League,Luka Milivojević,Missed,
206,Scott Carson,/en/matches/27601c16/Newcastle-United-Manchester-City-May-14-2021-Premier-League,Joelinton,Scored,
207,Scott Carson,/en/matches/27601c16/Newcastle-United-Manchester-City-May-14-2021-Premier-League,Joe Willock,Missed,
208,Kasper Schmeichel,/en/matches/509c9927/Chelsea-Leicester-City-May-18-2021-Premier-League,Jorginho,Scored,
209,Sam Johnstone,/en/matches/88927a77/West-Bromwich-Albion-West-Ham-United-May-19-2021-Premier-League,Declan Rice,Missed,1
210,Rui Patrício,/en/matches/2c081c94/Wolverhampton-Wanderers-Manchester-United-May-23-2021-Premier-League,Juan Mata,Scored,
211,Sam Johnstone,/en/matches/9ade2b5d/Leeds-United-West-Bromwich-Albion-May-23-2021-Premier-League,Patrick Bamford,Scored,
212,Hugo Lloris,/en/matches/0d04cd74/Leicester-City-Tottenham-Hotspur-May-23-2021-Premier-League,Jamie Vardy,Scored,
213,Hugo Lloris,/en/matches/0d04cd74/Leicester-City-Tottenham-Hotspur-May-23-2021-Premier-League,Jamie Vardy,Scored,
214,"Edouard Mendy,Kepa Arrizabalaga",/en/matches/0143966a/Aston-Villa-Chelsea-May-23-2021-Premier-League,Anwar El Ghazi,Scored,
215,Ederson,/en/matches/12d3970f/Manchester-City-Everton-May-23-2021-Premier-League,Gylfi Sigurðsson,Missed,
216,Marek Rodák,/en/matches/f966eee0/Fulham-Newcastle-United-May-23-2021-Premier-League,Fabian Schär,Scored,